Date,Open,High,Low,Close,Volume
2014-03-20,16.8734,17.0033,16.5205,16.9024,596938.46129162
2014-03-21,16.7374,17.0303,16.4056,16.5785,2289286.1697253
2014-03-24,16.5375,16.7014,16.0327,16.6645,536234.61846306
2014-03-25,16.7574,17.4062,16.7494,17.2592,554191.67150809
2014-03-26,17.3072,17.3072,17.0373,17.1523,331455.18663767
2014-03-27,17.0883,17.3072,16.7224,16.8384,396370.68369017
2014-03-28,16.8384,17.2462,16.8104,17.1832,394471.93791415
2014-03-31,17.2462,17.4341,16.8104,17.4341,3250993.9025266
2014-04-01,17.3972,17.771,17.1603,17.771,521047.65343371
2014-04-02,17.78,18.0759,17.6311,17.83,447201.64871921
2014-04-03,17.874,17.9719,16.8534,16.8814,521234.72691112
2014-04-04,16.9663,17.0373,16.2396,16.5495,449066.3811357
2014-04-07,16.5415,16.6505,16.2036,16.5495,331714.28840584
2014-04-08,16.5645,17.3852,16.3976,17.2332,726099.19213532
2014-04-09,17.2992,17.3412,16.9463,16.9953,392300.08486899
2014-04-10,16.9603,16.9953,16.4505,16.4505,164096.45265087
2014-04-11,16.3416,17.0473,15.7528,16.9663,808819.6825079
2014-04-14,17.1663,17.2592,16.9024,16.9603,424518.73948561
2014-04-15,17.0113,17.2122,15.9377,16.1077,368177.610213
2014-04-16,16.1397,16.2706,15.8318,16.1836,265638.33555768
2014-04-17,16.1317,16.2856,15.5859,16.0327,510582.54302123
2014-04-21,16.0327,16.9953,16.0327,16.8164,434471.64871932
2014-04-22,16.8014,16.8814,16.2856,16.3846,281652.6255379
2014-04-23,16.4056,16.8644,16.3506,16.4425,420195.04125382
2014-04-24,16.5205,17.1523,16.4205,16.8104,187403.60707111
2014-04-25,16.6954,16.7094,15.7788,15.8818,456574.33005508
2014-04-28,15.9377,16.3186,15.7228,16.2396,402805.21099856
2014-04-29,16.3416,16.4126,15.9187,16.1656,209990.47858369
2014-04-30,16.1836,16.6645,15.263,16.6355,833161.24321497
2014-05-01,16.5995,17.2992,16.4995,17.2532,879504.44557214
2014-05-02,17.2392,17.6721,16.9893,17.0673,481281.03418061
2014-05-05,16.9463,17.0263,16.3926,16.4565,265837.41375021
2014-05-06,16.3716,16.4565,15.9028,15.9637,331662.26797362
2014-05-07,15.9877,16.1776,15.6009,15.8318,283711.43418228
2014-05-08,15.7638,15.9877,15.185,15.32,274101.65972264
2014-05-09,15.27,15.32,15.0891,15.198,281664.63025302
2014-05-12,15.229,15.6079,15.0981,15.5369,263819.62121585
2014-05-13,15.5009,15.6588,15.27,15.5709,189436.40549938
2014-05-14,15.4729,15.5639,15.313,15.4069,187814.76856423
2014-05-15,15.313,15.5529,15.277,15.4279,271707.71944761
2014-05-16,15.393,15.4209,15.191,15.293,365039.37760006
2014-05-19,15.277,15.8518,15.233,15.7888,217504.42986064
2014-05-20,15.8108,15.8738,15.6518,15.7888,223647.84282719
2014-05-21,15.8178,16.1077,15.8178,15.8738,210795.79489016
2014-05-22,15.8518,16.1926,15.8318,16.0967,158246.15481202
2014-05-23,16.1487,16.3666,16.0187,16.2266,129623.91276904
2014-05-27,16.6165,16.8734,16.5785,16.6794,242483.24086239
2014-05-28,16.6645,16.7094,16.0967,16.5375,267176.93987987
2014-05-29,16.5785,16.5995,16.2186,16.2806,428041.12298263
2014-05-30,16.3186,16.5785,16.2706,16.2996,335854.91473194
2014-06-02,16.0537,16.4565,15.8318,16.2546,360802.71355295
2014-06-03,16.2106,16.3036,15.9307,16.2186,1222749.262858
2014-06-04,16.2396,16.6844,16.1656,16.3596,253267.47661869
2014-06-05,16.4136,16.6844,16.1167,16.6475,185741.95441886
2014-06-06,16.7644,17.6131,16.6914,17.4092,572272.77327611
2014-06-09,17.3222,17.691,17.1473,17.5381,156404.43143286
2014-06-10,17.5541,17.5671,17.3092,17.5481,143097.20471392
2014-06-11,17.5481,17.866,17.3792,17.4981,141930.74656069
2014-06-12,17.4981,17.5741,17.1763,17.4441,164445.5897825
2014-06-13,17.4811,17.794,17.3292,17.5671,268652.51944763
2014-06-16,17.5821,17.77,17.5171,17.6131,292357.83025293
2014-06-17,17.5671,17.75,17.3092,17.3412,394113.79724618
2014-06-18,17.3412,17.699,17.1763,17.699,167896.94538169
2014-06-19,17.699,17.9679,17.6201,17.882,197182.44793547
2014-06-20,17.932,17.9809,17.6641,17.851,266013.48290542
2014-06-23,17.882,17.882,17.5041,17.5321,257081.97485048
2014-06-24,17.5241,17.874,17.4441,17.5821,118490.53988112
2014-06-25,17.4981,17.736,17.4092,17.728,126630.73713056
2014-06-26,17.706,17.843,17.5321,17.801,58367.925343319
2014-06-27,17.691,17.932,17.5911,17.851,494092.06600762
2014-06-30,17.816,18.0979,17.722,18.0409,169656.63654081
2014-07-01,18.0899,18.1349,17.713,17.75,342677.59449612
2014-07-02,17.728,17.9889,17.699,17.9549,103669.71866317
2014-07-03,17.9809,18.0619,17.838,17.866,74975.448329426
2014-07-07,17.9549,17.9549,17.4371,17.4581,202944.71119671
2014-07-08,17.4172,17.4681,16.8444,17.1123,169977.76267047
2014-07-09,17.1123,17.2782,17.0263,17.1543,144134.61217953
2014-07-10,16.8584,16.9883,16.7004,16.9303,238840.81021409
2014-07-11,16.8874,17.0263,16.7554,16.8874,123523.51669837
2014-07-14,17.0183,17.1343,16.6764,16.7274,139477.78310295
2014-07-15,16.6844,16.8004,16.1557,16.2266,178784.22160949
2014-07-16,16.2546,16.4305,16.0307,16.1706,449804.67111604
2014-07-17,16.0947,16.3776,16.0467,16.2916,319464.47701105
2014-07-18,16.2716,16.5165,16.0687,16.3426,384686.09429931
2014-07-21,16.2996,16.4965,16.1077,16.4305,207887.6526505
2014-07-22,16.4805,16.6125,16.2466,16.5665,181042.10844641
2014-07-23,16.5955,16.6125,16.3666,16.3946,58765.081335457
2014-07-24,16.4525,16.5165,16.3116,16.3946,110165.26994013
2014-07-25,16.2816,16.7274,16.2816,16.6914,240897.61807262
2014-07-28,16.6695,16.7924,16.3776,16.7414,150023.92534254
2014-07-29,16.7344,16.8874,16.3276,16.3776,132723.13005782
2014-07-30,16.4305,16.5085,16.1766,16.3276,212355.40746383
2014-07-31,16.8644,16.8644,16.0237,16.4215,425891.27858187
2014-08-01,16.4525,16.7414,16.3776,16.6844,256072.57838684
2014-08-04,16.7644,16.9593,16.4585,16.9453,294992.86522344
2014-08-05,16.8364,17.0473,16.7004,16.8004,223566.81100008
2014-08-06,16.7694,17.3872,16.7694,17.1473,219285.12927123
2014-08-07,17.1543,17.3372,16.9224,17.0803,130290.17445862
2014-08-08,17.0603,17.0803,16.7484,16.9453,101493.86404629
2014-08-11,16.9453,17.1473,16.9303,17.0033,137813.12927192
2014-08-12,16.9064,16.9803,16.7004,16.8584,80411.583496374
2014-08-13,16.9543,16.9803,16.6914,16.7484,114661.03575542
2014-08-14,16.8074,16.8074,16.4525,16.4965,122658.17681625
2014-08-15,16.6475,16.8584,16.2336,16.7554,163775.32652121
2014-08-18,16.9004,17.2142,16.8154,16.9953,198379.91826944
2014-08-19,16.9883,17.3572,16.9303,17.0893,166956.57603002
2014-08-20,17.0543,17.1343,16.8444,17.0973,84726.278191819
2014-08-21,17.0543,17.1123,16.7124,16.9383,163876.36620687
2014-08-22,16.9144,17.2852,16.8954,17.0373,110987.59292637
2014-08-25,17.1623,17.2702,17.0033,17.0973,47294.576031035
2014-08-26,17.0603,17.2622,17.0183,17.1283,118427.5151267
2014-08-27,17.0973,17.1852,16.9953,17.1683,129675.93320126
2014-08-28,17.0743,17.1912,16.9303,17.1473,96028.717484454
2014-08-29,17.1343,17.2142,16.9803,17.1683,81278.924164343
2014-09-02,17.1543,17.4012,17.0373,17.3652,208932.06286661
2014-09-03,17.5181,17.9589,17.2612,17.5611,241907.01453627
2014-09-04,17.5491,17.833,17.3872,17.717,156634.52180614
2014-09-05,17.6671,18.0089,17.5761,17.886,187975.83182552
2014-09-08,17.905,18.3078,17.833,18.1429,403478.47543864
2014-09-09,18.2208,18.2208,17.833,17.9869,350170.5375216
2014-09-10,17.9869,17.9869,17.754,17.9449,248688.67819043
2014-09-11,17.848,18.0769,17.767,18.0019,90250.447936369
2014-09-12,17.9589,18.0699,17.5691,18.0019,549604.86993642
2014-09-15,18.1699,18.5377,17.9709,17.9949,261121.56149092
2014-09-16,17.9949,18.1559,17.762,18.0699,130273.16777886
2014-09-17,18.0229,18.1429,17.9869,18.1339,114275.88447841
2014-09-18,18.1499,18.2808,18.0309,18.0609,140939.35716973
2014-09-19,18.0519,18.1099,17.848,17.9949,275140.06758117
2014-09-22,17.9869,18.2128,17.938,17.9869,282970.14302315
2014-09-23,18.2078,18.2078,17.2842,17.3872,221303.92219852
2014-09-24,17.3572,17.4511,17.0783,17.2612,153820.41650165
2014-09-25,17.2772,17.2772,16.8914,17.0083,99034.898230991
2014-09-26,17.0003,17.2482,16.8394,17.1832,76253.950490515
2014-09-29,17.0653,17.2042,16.9253,17.1383,160732.13123636
2014-09-30,17.1033,17.2332,16.6135,16.8164,272401.99213915
2014-10-01,16.8244,16.8744,16.6485,16.7574,373579.73202042
2014-10-02,16.7214,17.0143,16.4205,16.9693,332267.50569464
2014-10-03,17.0863,17.2332,16.8984,17.1263,78853.971708568
2014-10-06,17.1323,17.2612,16.9783,16.9863,78852.971315641
2014-10-07,16.9563,17.0523,16.4205,16.4365,154857.82396726
2014-10-08,16.3766,16.5965,15.9177,16.5465,136968.79764128
2014-10-09,16.5005,16.5465,16.2236,16.3096,121825.84990074
2014-10-10,16.2236,16.3666,15.8148,15.9177,181240.18624601
2014-10-13,15.9087,16.3036,15.5009,15.6319,264502.88958519
2014-10-14,15.7778,16.1437,15.5709,15.8508,348118.73162771
2014-10-15,15.7058,16.1686,15.4329,16.1197,230110.38113755
2014-10-16,15.9297,16.8544,15.6538,16.6714,444770.69390587
2014-10-17,16.8614,17.0433,16.1616,16.2376,407322.98545825
2014-10-20,16.1686,16.3506,15.8728,16.2846,263563.52062646
2014-10-21,16.3986,17.0953,16.3036,17.0783,198139.82396689
2014-10-22,17.0653,17.2212,16.3096,16.4136,198260.8715111
2014-10-23,16.7444,16.9253,16.3936,16.8394,174681.61021463
2014-10-24,16.8914,17.1832,16.5545,17.1323,113630.6310403
2014-10-27,17.1103,17.5181,16.9493,17.2552,134524.83771989
2014-10-28,17.3572,17.914,17.2272,17.848,401462.68369013
2014-10-29,17.871,18.6467,17.4441,18.4038,930471.46403929
2014-10-30,18.4108,18.6317,18.0469,18.5937,205450.6954796
2014-10-31,18.6537,18.7636,18.4867,18.5807,202521.54498847
2014-11-03,18.6317,18.7986,17.922,18.2518,305100.83536088
2014-11-04,18.2578,18.4637,17.827,17.938,406175.53477064
2014-11-05,18.0019,18.0699,17.4991,17.863,252264.0825126
2014-11-06,17.891,18.4178,17.6011,18.3538,388312.51866077
2014-11-07,18.3008,18.8726,18.1998,18.8156,232872.46600982
2014-11-10,18.7986,18.8656,18.2878,18.7246,138086.23654107
2014-11-11,18.7986,18.9466,18.5657,18.9086,145134.0047139
2014-11-12,18.8076,19.1655,18.7116,18.8876,167098.6318257
2014-11-13,18.8726,19.1135,18.5497,18.7486,114216.8612957
2014-11-14,18.7346,18.9526,18.5207,18.6657,227108.20196272
2014-11-17,18.5807,18.7926,18.2878,18.5657,226868.10766017
2014-11-18,18.6467,18.9975,18.5377,18.8076,292499.88604861
2014-11-19,18.7636,18.8796,18.4498,18.7706,136715.69823067
2014-11-20,18.7166,18.8726,18.6087,18.7556,186488.24754263
2014-11-21,18.9685,18.9685,18.2678,18.3078,477410.51394489
2014-11-24,18.6907,19.1135,18.4987,18.9815,474897.52691151
2014-11-25,19.1135,19.6273,18.9306,19.2674,766314.98781278
2014-11-26,19.2764,19.4933,19.1415,19.3234,105588.47229773
2014-11-28,19.4214,19.5093,19.1655,19.1785,80142.47779893
2014-12-01,19.2244,19.5983,18.5207,19.3324,522112.07150836
2014-12-02,19.4054,19.5453,19.0285,19.0855,227408.31984091
2014-12-03,19.0855,19.3654,18.7306,18.7616,249244.89665801
2014-12-04,18.8046,19.1885,18.7826,18.9516,269680.9233769
2014-12-05,18.5767,18.7826,18.2128,18.6127,401808.81964297
2014-12-08,18.6127,18.6877,18.2678,18.6047,290665.16541994
2014-12-09,18.3928,18.7366,18.3168,18.4527,171244.26011643
2014-12-10,18.4058,18.4058,18.0219,18.2128,164283.52612828
2014-12-11,18.3838,18.6957,18.2448,18.3248,203708.01100024
2014-12-12,18.0379,18.7966,18.0379,18.3618,204421.29115741
2014-12-15,18.4527,18.7306,18.3168,18.3768,210417.64636365
2014-12-16,18.4118,18.4278,17.831,17.84,279205.66443772
2014-12-17,18.1639,18.8936,17.845,18.7216,652720.37091787
2014-12-18,18.9745,19.2914,18.7616,19.0995,427656.97209855
2014-12-19,19.1085,19.5863,19.0765,19.2914,719192.47936524
2014-12-22,19.2085,19.6973,19.2085,19.5203,336500.16817005
2014-12-23,19.6893,19.9612,19.4893,19.7692,415450.17759964
2014-12-24,19.7552,19.9032,19.5543,19.6233,242306.17131426
2014-12-26,19.7193,19.8792,19.3444,19.4534,134854.96738589
2014-12-29,19.4594,19.6973,19.1885,19.4154,322700.74813087
2014-12-30,19.3944,19.6973,19.2254,19.2404,311008.15559659
2014-12-31,19.3114,19.4474,19.2694,19.2974,516537.88211745
2015-01-02,19.3584,19.3874,18.3768,18.8936,570950.25382622
2015-01-05,18.7896,18.8396,18.3768,18.4058,334468.3701347
2015-01-06,18.4208,18.8706,17.89,18.5527,370612.56659805
